"","iso2c","country","FB.BNK.CAPA.ZS","year","iso3c","region","capital","longitude","latitude","income","lending","EuropeanRegions"
"19","AM","Armenia",21,2009,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
"20","AM","Armenia",23,2008,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
"21","AM","Armenia",15.9,2012,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
"22","AS","American Samoa",NA,2011,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"23","AS","American Samoa",NA,2010,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"24","AS","American Samoa",NA,2009,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"25","AS","American Samoa",NA,2007,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"26","AS","American Samoa",NA,2012,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"27","AS","American Samoa",NA,2008,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"28","AS","American Samoa",NA,2013,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",NA
"29","AT","Austria",7.8,2012,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"30","AT","Austria",8,2013,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"31","AT","Austria",6.5,2007,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"32","AT","Austria",7.2,2011,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"33","AT","Austria",6.3,2008,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"34","AT","Austria",7.5,2010,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"35","AT","Austria",7,2009,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","Western Europe"
"36","AU","Australia",5.7,2011,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"37","AU","Australia",5.7,2010,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"38","AU","Australia",5.6,2013,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"39","AU","Australia",5.7,2012,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"40","AU","Australia",5,2007,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"41","AU","Australia",5.7,2009,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"42","AU","Australia",5.4,2008,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified",NA
"43","AZ","Azerbaijan",NA,2009,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"44","AZ","Azerbaijan",NA,2010,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"45","AZ","Azerbaijan",NA,2011,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"46","AZ","Azerbaijan",NA,2012,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"47","AZ","Azerbaijan",NA,2008,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"48","AZ","Azerbaijan",NA,2007,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"49","AZ","Azerbaijan",NA,2013,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","Caucasus"
"50","BA","Bosnia and Herzegovina",11.8,2010,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"51","BA","Bosnia and Herzegovina",9.4,2008,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"52","BA","Bosnia and Herzegovina",8.8,2007,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"53","BA","Bosnia and Herzegovina",14.4,2013,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"54","BA","Bosnia and Herzegovina",10.7,2009,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"55","BA","Bosnia and Herzegovina",14.2,2012,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"56","BA","Bosnia and Herzegovina",13.6,2011,"BIH","Europe & Central Asia (all income levels)","Sarajevo","18.4214","43.8607","Upper middle income","Blend","Southeastern and Balkan"
"57","BE","Belgium",5,2010,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"58","BE","Belgium",4.6,2011,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"59","BE","Belgium",5.8,2012,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"60","BE","Belgium",4.6,2009,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"61","BE","Belgium",6.2,2013,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"62","BE","Belgium",4.3,2007,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"63","BE","Belgium",3.3,2008,"BEL","Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified","Western Europe"
"64","BG","Bulgaria",10.5,2010,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"65","BG","Bulgaria",NA,2013,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"66","BG","Bulgaria",7.7,2007,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"67","BG","Bulgaria",10.8,2011,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"68","BG","Bulgaria",10.8,2009,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"69","BG","Bulgaria",11.4,2008,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"70","BG","Bulgaria",10.1,2012,"BGR","Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD","Southeastern and Balkan"
"71","BM","Bermuda",NA,2010,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"72","BM","Bermuda",NA,2013,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"73","BM","Bermuda",NA,2012,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"74","BM","Bermuda",NA,2011,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"75","BM","Bermuda",NA,2007,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"76","BM","Bermuda",NA,2009,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"77","BM","Bermuda",NA,2008,"BMU","North America","Hamilton","-64.706","32.3293","High income: nonOECD","Not classified",NA
"78","BN","Brunei Darussalam",9.097,2012,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"79","BN","Brunei Darussalam",9.285,2013,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"80","BN","Brunei Darussalam",9.712,2009,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"81","BN","Brunei Darussalam",NA,2008,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"82","BN","Brunei Darussalam",8.901,2011,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"83","BN","Brunei Darussalam",10.252,2010,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"84","BN","Brunei Darussalam",NA,2007,"BRN","East Asia & Pacific (all income levels)","Bandar Seri Begawan","114.946","4.94199","High income: nonOECD","Not classified",NA
"85","BY","Belarus",14.4,2012,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"86","BY","Belarus",18.6,2008,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"87","BY","Belarus",16,2007,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"88","BY","Belarus",16.7,2009,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"89","BY","Belarus",13.6,2010,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"90","BY","Belarus",14,2011,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"91","BY","Belarus",14.1,2013,"BLR","Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD","Eastern Europe"
"92","CA","Canada",5.1,2011,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"93","CA","Canada",4.7,2010,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"94","CA","Canada",4.5,2009,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"95","CA","Canada",3.5,2008,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"96","CA","Canada",5.1,2013,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"97","CA","Canada",5.1,2012,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"98","CA","Canada",3.7,2007,"CAN","North America","Ottawa","-75.6919","45.4215","High income: OECD","Not classified",NA
"99","CH","Switzerland",5.1,2009,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"100","CH","Switzerland",NA,2013,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"101","CH","Switzerland",4.6,2007,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"102","CH","Switzerland",5.4,2010,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"103","CH","Switzerland",4.8,2008,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"104","CH","Switzerland",5.5,2011,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"105","CH","Switzerland",5.5,2012,"CHE","Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified","Western Europe"
"106","CN","China",NA,2013,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"107","CN","China",6.3,2012,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"108","CN","China",6.4,2011,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"109","CN","China",6.1,2010,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"110","CN","China",5.6,2009,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"111","CN","China",6,2008,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"112","CN","China",5.7,2007,"CHN","East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",NA
"113","CY","Cyprus",NA,2007,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"114","CY","Cyprus",4.9,2011,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"115","CY","Cyprus",8.6,2013,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"116","CY","Cyprus",4.9,2009,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"117","CY","Cyprus",5.9,2010,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"118","CY","Cyprus",6.9,2008,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"119","CY","Cyprus",5.2,2012,"CYP","Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified","Southeastern and Balkan"
"120","CZ","Czech Republic",6.9,2012,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"121","CZ","Czech Republic",6.1,2009,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"122","CZ","Czech Republic",7.5,2013,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"123","CZ","Czech Republic",6.5,2010,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"124","CZ","Czech Republic",6.5,2011,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"125","CZ","Czech Republic",5.5,2008,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"126","CZ","Czech Republic",5,2007,"CZE","Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified","Eastern Europe"
"127","DE","Germany",4.8,2009,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"128","DE","Germany",4.3,2007,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"129","DE","Germany",4.4,2011,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"130","DE","Germany",4.7,2012,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"131","DE","Germany",4.5,2008,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"132","DE","Germany",5.5,2013,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"133","DE","Germany",4.3,2010,"DEU","Europe & Central Asia (all income levels)","Berlin","13.4115","52.5235","High income: OECD","Not classified","Western Europe"
"134","DK","Denmark",5.5,2009,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"135","DK","Denmark",5.3,2012,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"136","DK","Denmark",5.4,2010,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"137","DK","Denmark",5.1,2011,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"138","DK","Denmark",6.5,2013,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"139","DK","Denmark",5.5,2008,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"140","DK","Denmark",6.2,2007,"DNK","Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified","Nordic"
"141","EE","Estonia",8.9,2011,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"142","EE","Estonia",9.9,2012,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"143","EE","Estonia",8.7,2009,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"144","EE","Estonia",8.2,2008,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"145","EE","Estonia",11.3,2013,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"146","EE","Estonia",9.3,2010,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"147","EE","Estonia",8.6,2007,"EST","Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified","Baltic"
"148","ES","Spain",6.4,2009,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"149","ES","Spain",5.9,2008,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"150","ES","Spain",6.3,2013,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"151","ES","Spain",5.9,2011,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"152","ES","Spain",6.1,2010,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"153","ES","Spain",5.8,2012,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"154","ES","Spain",6.7,2007,"ESP","Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified","Southwestern Europe"
"155","FI","Finland",8,2007,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"156","FI","Finland",4.4,2012,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"157","FI","Finland",6.2,2008,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"158","FI","Finland",5.5,2010,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"159","FI","Finland",6.4,2009,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"160","FI","Finland",4.4,2011,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"161","FI","Finland",4.9,2013,"FIN","Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified","Nordic"
"162","FJ","Fiji",NA,2011,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"163","FJ","Fiji",NA,2010,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"164","FJ","Fiji",NA,2009,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"165","FJ","Fiji",NA,2008,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"166","FJ","Fiji",NA,2007,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"167","FJ","Fiji",NA,2013,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"168","FJ","Fiji",NA,2012,"FJI","East Asia & Pacific (all income levels)","Suva","178.399","-18.1149","Lower middle income","IBRD",NA
"169","FM","Micronesia, Fed. Sts.",NA,2007,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"170","FM","Micronesia, Fed. Sts.",NA,2013,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"171","FM","Micronesia, Fed. Sts.",NA,2012,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"172","FM","Micronesia, Fed. Sts.",NA,2011,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"173","FM","Micronesia, Fed. Sts.",NA,2010,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"174","FM","Micronesia, Fed. Sts.",NA,2009,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"175","FM","Micronesia, Fed. Sts.",NA,2008,"FSM","East Asia & Pacific (all income levels)","Palikir","158.185","6.91771","Lower middle income","IDA",NA
"176","FO","Faeroe Islands",NA,2013,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"177","FO","Faeroe Islands",NA,2012,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"178","FO","Faeroe Islands",NA,2007,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"179","FO","Faeroe Islands",NA,2011,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"180","FO","Faeroe Islands",NA,2010,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"181","FO","Faeroe Islands",NA,2008,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"182","FO","Faeroe Islands",NA,2009,"FRO","Europe & Central Asia (all income levels)","Torshavn","-6.91181","61.8926","High income: nonOECD","Not classified","Nordic"
"183","FR","France",4.1,2009,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
"184","FR","France",5.4,2013,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
"185","FR","France",NA,2007,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
"186","FR","France",3.7,2008,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
"187","FR","France",4.9,2010,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
"188","FR","France",5.2,2012,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
"189","FR","France",4.8,2011,"FRA","Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified","Western Europe"
